省份,城市,日期,天气状况,最高温(℃),最低温(℃),风力风向,AQI指数,AQI数值
北京,北京,6月12日,雷阵雨,30.0,20.0,,,
北京,北京,6月13日,雷阵雨,26.0,19.0,,,
北京,北京,6月14日,多云,29.0,21.0,,,
北京,北京,6月15日,多云,31.0,22.0,,,
北京,北京,6月16日,小雨,28.0,21.0,,,
北京,北京,6月17日,阴,29.0,21.0,,,
北京,北京,6月18日,多云,31.0,22.0,,,
天津,天津,6月12日,阴,34.0,24.0,,,
天津,天津,6月13日,雷阵雨,28.0,19.0,,,
天津,天津,6月14日,多云,30.0,22.0,,,
天津,天津,6月15日,多云,31.0,23.0,,,
天津,天津,6月16日,阴,30.0,22.0,,,
天津,天津,6月17日,阴,28.0,22.0,,,
天津,天津,6月18日,多云,31.0,24.0,,,
河北,石家庄,6月12日,雷阵雨,31.0,20.0,,,
河北,石家庄,6月13日,雷阵雨,33.0,21.0,,,
河北,石家庄,6月14日,晴,33.0,22.0,,,
河北,石家庄,6月15日,雷阵雨,35.0,22.0,,,
河北,石家庄,6月16日,雷阵雨,35.0,23.0,,,
河北,石家庄,6月17日,阴,36.0,24.0,,,
河北,石家庄,6月18日,雷阵雨,37.0,25.0,,,
山西,太原,6月12日,雷阵雨,30.0,13.0,,,
山西,太原,6月13日,小雨,29.0,14.0,,,
山西,太原,6月14日,多云,32.0,18.0,,,
山西,太原,6月15日,小雨,30.0,16.0,,,
山西,太原,6月16日,晴,31.0,17.0,,,
山西,太原,6月17日,晴,31.0,18.0,,,
山西,太原,6月18日,阴,34.0,18.0,,,
内蒙古,呼和浩特,6月12日,小雨,25.0,13.0,,,
内蒙古,呼和浩特,6月13日,晴,29.0,12.0,,,
内蒙古,呼和浩特,6月14日,晴,30.0,16.0,,,
内蒙古,呼和浩特,6月15日,小雨,31.0,16.0,,,
内蒙古,呼和浩特,6月16日,小雨,29.0,15.0,,,
内蒙古,呼和浩特,6月17日,多云,31.0,17.0,,,
内蒙古,呼和浩特,6月18日,小雨,32.0,16.0,,,
辽宁,沈阳,6月12日,多云,31.0,19.0,,,
辽宁,沈阳,6月13日,雷阵雨,26.0,19.0,,,
辽宁,沈阳,6月14日,中雨,28.0,18.0,,,
辽宁,沈阳,6月15日,雷阵雨,25.0,18.0,,,
辽宁,沈阳,6月16日,雷阵雨,23.0,18.0,,,
辽宁,沈阳,6月17日,雷阵雨,23.0,18.0,,,
辽宁,沈阳,6月18日,多云,27.0,19.0,,,
吉林,长春,6月12日,多云,28.0,16.0,,,
吉林,长春,6月13日,小雨,25.0,16.0,,,
吉林,长春,6月14日,小雨,26.0,17.0,,,
吉林,长春,6月15日,中雨,23.0,17.0,,,
吉林,长春,6月16日,晴,24.0,15.0,,,
吉林,长春,6月17日,小雨,26.0,15.0,,,
吉林,长春,6月18日,小雨,27.0,20.0,,,
黑龙江,哈尔滨,6月12日,多云,28.0,15.0,,,
黑龙江,哈尔滨,6月13日,多云,25.0,14.0,,,
黑龙江,哈尔滨,6月14日,小雨,23.0,15.0,,,
黑龙江,哈尔滨,6月15日,中雨,23.0,17.0,,,
黑龙江,哈尔滨,6月16日,小雨,25.0,18.0,,,
黑龙江,哈尔滨,6月17日,阵雨,26.0,17.0,,,
黑龙江,哈尔滨,6月18日,阵雨,27.0,22.0,,,
上海,上海,6月12日,阴,34.0,23.0,,,
上海,上海,6月13日,小雨,27.0,21.0,,,
上海,上海,6月14日,小雨,25.0,21.0,,,
上海,上海,6月15日,多云,29.0,22.0,,,
上海,上海,6月16日,小雨,30.0,23.0,,,
上海,上海,6月17日,小雨,30.0,23.0,,,
上海,上海,6月18日,小雨,31.0,24.0,,,
江苏,南京,6月12日,多云,35.0,24.0,,,
江苏,南京,6月13日,阴,30.0,21.0,,,
江苏,南京,6月14日,小雨,30.0,21.0,,,
江苏,南京,6月15日,阴,30.0,22.0,,,
江苏,南京,6月16日,多云,31.0,22.0,,,
江苏,南京,6月17日,小雨,33.0,23.0,,,
江苏,南京,6月18日,阴,32.0,23.0,,,
浙江,杭州,6月12日,多云,33.0,23.0,,,
浙江,杭州,6月13日,小雨,25.0,20.0,,,
浙江,杭州,6月14日,小雨,27.0,21.0,,,
浙江,杭州,6月15日,小雨,28.0,22.0,,,
浙江,杭州,6月16日,小雨,29.0,22.0,,,
浙江,杭州,6月17日,小雨,30.0,23.0,,,
浙江,杭州,6月18日,大雨,30.0,23.0,,,
安徽,合肥,6月12日,阴,32.0,21.0,,,
安徽,合肥,6月13日,多云,27.0,18.0,,,
安徽,合肥,6月14日,多云,31.0,21.0,,,
安徽,合肥,6月15日,多云,28.0,22.0,,,
安徽,合肥,6月16日,多云,30.0,22.0,,,
安徽,合肥,6月17日,阴,31.0,23.0,,,
安徽,合肥,6月18日,小雨,31.0,22.0,,,
福建,福州,6月12日,阴,28.0,22.0,,,
福建,福州,6月13日,小雨,28.0,23.0,,,
福建,福州,6月14日,大雨,28.0,24.0,,,
福建,福州,6月15日,大雨,27.0,23.0,,,
福建,福州,6月16日,中雨,28.0,23.0,,,
福建,福州,6月17日,小雨,31.0,24.0,,,
福建,福州,6月18日,小雨,32.0,25.0,,,
江西,南昌,6月12日,阴,30.0,22.0,,,
江西,南昌,6月13日,中雨,25.0,21.0,,,
江西,南昌,6月14日,阴,29.0,23.0,,,
江西,南昌,6月15日,多云,30.0,24.0,,,
江西,南昌,6月16日,小雨,30.0,25.0,,,
江西,南昌,6月17日,小雨,30.0,25.0,,,
江西,南昌,6月18日,中雨,28.0,25.0,,,
山东,济南,6月12日,多云,34.0,24.0,,,
山东,济南,6月13日,雷阵雨,33.0,24.0,,,
山东,济南,6月14日,雷阵雨,33.0,22.0,,,
山东,济南,6月15日,多云,34.0,22.0,,,
山东,济南,6月16日,晴,33.0,22.0,,,
山东,济南,6月17日,多云,33.0,23.0,,,
山东,济南,6月18日,小雨,33.0,24.0,,,
河南,郑州,6月12日,多云,35.0,21.0,,,
河南,郑州,6月13日,晴,34.0,24.0,,,
河南,郑州,6月14日,阴,36.0,26.0,,,
河南,郑州,6月15日,多云,35.0,25.0,,,
河南,郑州,6月16日,晴,35.0,25.0,,,
